Fecha,Ciudad,Tipo_Hospedaje,Precio_Noche_USD,Noches,Precio_Total_USD
2025-01-09,Moscú,Hotel 4 estrellas,212.33,4,849.32
2024-08-01,Moscú,Airbnb,132.41,9,1191.69
2023-01-09,París,Hotel 4 estrellas,202.99,7,1420.93
2023-11-10,Bangkok,Hotel 3 estrellas,110.48,13,1436.24
2023-12-13,Berlín,Hotel 3 estrellas,111.6,14,1562.4
2024-09-15,Toronto,Airbnb,86.44,12,1037.28
2024-11-01,Dubái,Hotel 3 estrellas,118.58,13,1541.54
2024-01-21,Barcelona,Hotel 5 estrellas,438.64,8,3509.12
2025-03-30,Dubái,Hotel 2 estrellas,47.47,2,94.94
2023-09-14,Río de Janeiro,Hotel 4 estrellas,133.43,10,1334.3
2024-10-10,Ciudad de México,Hostal,23.98,13,311.74
2023-04-09,Roma,Airbnb,117.18,8,937.44
2024-03-22,Toronto,Hotel 5 estrellas,406.76,2,813.52
2024-04-24,Barcelona,Airbnb,195.88,3,587.64
2022-11-11,Berlín,Hotel 2 estrellas,51.42,5,257.1
2023-12-21,Dubái,Hostal,48.47,4,193.88
2023-08-02,Tokio,Hotel 3 estrellas,62.7,3,188.1
2022-06-18,Londres,Hotel 4 estrellas,220.55,14,3087.7
2024-06-25,Sídney,Hotel 3 estrellas,99.28,13,1290.64
2023-08-31,Delhi,Hotel 4 estrellas,166.62,6,999.72
2023-04-17,Ciudad del Cabo,Airbnb,192.99,9,1736.91
2023-09-04,Berlín,Airbnb,131.07,4,524.28
2024-12-02,Nueva York,Hotel 2 estrellas,56.09,4,224.36
2022-07-31,Ciudad del Cabo,Hostal,42.81,9,385.29
2024-09-26,Lima,Hotel 3 estrellas,111.18,4,444.72
2025-02-05,Nueva York,Hotel 5 estrellas,711.98,10,7119.8
2023-03-18,Moscú,Hotel 5 estrellas,776.66,5,3883.3
2023-11-29,Tokio,Hotel 3 estrellas,130.7,6,784.2
2024-11-03,San Francisco,Hotel 2 estrellas,52.17,5,260.85
2022-11-11,Londres,Airbnb,79.22,1,79.22
2024-12-13,Bangkok,Hostal,15.37,4,61.48
2024-08-30,Estambul,Hotel 4 estrellas,242.02,5,1210.1
2024-08-05,Berlín,Airbnb,62.69,6,376.14
2023-12-07,Barcelona,Hotel 4 estrellas,144.75,13,1881.75
2023-03-03,Buenos Aires,Hotel 2 estrellas,69.58,8,556.64
2023-01-28,Roma,Hotel 5 estrellas,505.08,7,3535.56
2023-12-08,Nueva York,Hostal,14.59,2,29.18
2024-08-16,Tokio,Airbnb,194.41,8,1555.28
2022-12-14,Moscú,Hotel 2 estrellas,41.64,10,416.4
2025-04-14,San Francisco,Hotel 5 estrellas,206.5,13,2684.5
2022-10-24,Ciudad de México,Airbnb,151.63,1,151.63
2024-08-31,Bangkok,Hotel 5 estrellas,325.45,8,2603.6
2025-03-05,Dubái,Hotel 4 estrellas,108.71,13,1413.23
2024-11-20,Ámsterdam,Hotel 5 estrellas,366.64,6,2199.84
2024-11-27,Dubái,Hotel 4 estrellas,133.55,5,667.75
2022-09-07,Berlín,Airbnb,123.43,14,1728.02
2022-07-10,Estambul,Hostal,25.83,13,335.79
2023-06-22,Nueva York,Hotel 4 estrellas,223.06,2,446.12
2023-10-15,El Cairo,Airbnb,104.59,4,418.36
2024-08-31,Berlín,Hostal,10.28,14,143.92
2024-07-04,Nueva York,Hotel 5 estrellas,880.33,10,8803.3
2025-01-31,Estambul,Hotel 5 estrellas,208.86,4,835.44
2024-10-01,Barcelona,Airbnb,162.14,10,1621.4
2022-10-30,San Francisco,Airbnb,113.28,12,1359.36
2023-06-16,Buenos Aires,Hotel 4 estrellas,213.18,8,1705.44
2024-10-16,Praga,Hotel 2 estrellas,74.52,8,596.16
2022-10-27,Praga,Hotel 2 estrellas,41.24,8,329.92
2024-09-19,Roma,Hostal,33.68,9,303.12
2023-05-25,Sídney,Hotel 4 estrellas,208.76,10,2087.6
2024-08-23,Seúl,Hotel 2 estrellas,64.06,12,768.72
2024-03-27,Toronto,Airbnb,114.67,6,688.02
2025-02-06,Estambul,Airbnb,82.94,13,1078.22
2024-05-19,Tokio,Hotel 3 estrellas,132.58,11,1458.38
2025-01-07,Lima,Hotel 2 estrellas,45.1,3,135.3
2022-10-24,Roma,Airbnb,104.4,4,417.6
2023-07-06,El Cairo,Hotel 4 estrellas,133.94,13,1741.22
2023-06-10,Dubái,Hostal,48.33,14,676.62
2024-10-24,Ámsterdam,Hotel 2 estrellas,61.35,2,122.7
2024-12-30,Praga,Hotel 5 estrellas,934.08,11,10274.88
2023-05-16,San Francisco,Hotel 2 estrellas,42.01,14,588.14
2023-09-26,Londres,Hotel 2 estrellas,57.21,9,514.89
2023-12-17,Ámsterdam,Hotel 5 estrellas,973.69,9,8763.21
2025-04-09,Ciudad de México,Airbnb,47.45,9,427.05
2022-06-16,Toronto,Airbnb,176.97,7,1238.79
2024-04-13,Río de Janeiro,Airbnb,68.72,4,274.88
2024-09-06,Seúl,Hotel 4 estrellas,200.66,3,601.98
2024-12-03,Seúl,Airbnb,95.28,2,190.56
2022-07-28,París,Hostal,33.96,7,237.72
2022-08-05,Berlín,Hotel 3 estrellas,141.56,8,1132.48
2023-09-14,El Cairo,Hostal,27.02,2,54.04
2023-06-25,Delhi,Hotel 5 estrellas,582.46,6,3494.76
2024-08-04,Roma,Hotel 5 estrellas,949.62,13,12345.06
2023-01-20,Sídney,Hotel 2 estrellas,78.35,11,861.85
2022-09-19,Río de Janeiro,Airbnb,80.28,12,963.36
2023-05-29,Lima,Hotel 2 estrellas,68.78,10,687.8
2024-07-03,Singapur,Airbnb,127.66,14,1787.24
2025-03-09,Ámsterdam,Hotel 3 estrellas,88.22,13,1146.86
2023-03-18,Estambul,Hotel 2 estrellas,51.95,2,103.9
2022-09-24,Seúl,Hostal,30.43,2,60.86
2024-10-25,Nueva York,Hostal,47.01,4,188.04
2022-10-01,Singapur,Hotel 4 estrellas,229.54,8,1836.32
2025-01-20,Río de Janeiro,Hotel 3 estrellas,63.07,1,63.07
2022-10-18,Singapur,Hotel 3 estrellas,147.21,4,588.84
2023-07-10,El Cairo,Hotel 4 estrellas,157.0,2,314.0
2023-02-23,Río de Janeiro,Hotel 5 estrellas,734.32,9,6608.88
2024-12-29,Praga,Hostal,48.89,12,586.68
2024-03-15,Toronto,Airbnb,58.88,13,765.44
2024-10-28,Praga,Hotel 4 estrellas,111.62,4,446.48
2025-01-24,Barcelona,Hotel 3 estrellas,122.11,13,1587.43
2025-02-07,Lima,Hotel 5 estrellas,513.21,14,7184.94
2023-09-02,San Francisco,Hostal,21.63,10,216.3
2023-01-03,Moscú,Hotel 4 estrellas,150.65,3,451.95
2024-01-04,Sídney,Hotel 5 estrellas,359.03,3,1077.09
2023-05-23,Barcelona,Hotel 3 estrellas,123.99,7,867.93
2023-07-09,Berlín,Hotel 2 estrellas,41.31,9,371.79
2024-11-23,Tokio,Hotel 5 estrellas,202.93,2,405.86
2023-03-04,Seúl,Hotel 2 estrellas,65.88,14,922.32
2024-10-22,Ámsterdam,Hotel 4 estrellas,244.16,9,2197.44
2025-02-20,Río de Janeiro,Hotel 3 estrellas,149.65,5,748.25
2023-08-22,París,Hotel 5 estrellas,910.35,7,6372.45
2024-11-29,Moscú,Airbnb,190.95,7,1336.65
2023-02-24,Ciudad de México,Hotel 4 estrellas,230.81,3,692.43
2023-11-01,Toronto,Hotel 3 estrellas,105.85,3,317.55
2024-10-18,Singapur,Hotel 3 estrellas,115.4,1,115.4
2023-01-07,Seúl,Airbnb,86.09,14,1205.26
2024-09-09,Sídney,Airbnb,169.35,8,1354.8
2023-09-11,El Cairo,Hotel 2 estrellas,73.41,7,513.87
2023-09-02,Ámsterdam,Airbnb,106.83,8,854.64
2023-05-05,Singapur,Hotel 2 estrellas,61.35,4,245.4
2025-02-09,Delhi,Airbnb,175.17,1,175.17
2022-12-28,Lima,Hotel 3 estrellas,130.58,5,652.9
2023-12-22,Nueva York,Hotel 3 estrellas,80.48,5,402.4
2024-12-22,Lima,Hostal,31.56,13,410.28
2022-07-16,Río de Janeiro,Hotel 2 estrellas,72.31,13,940.03
2023-01-01,Bangkok,Hotel 4 estrellas,229.63,8,1837.04
2022-08-29,Ciudad del Cabo,Hotel 5 estrellas,720.14,5,3600.7
2023-03-28,Dubái,Airbnb,49.11,8,392.88
2023-06-29,Delhi,Hostal,11.53,13,149.89
2024-04-06,Nueva York,Hotel 3 estrellas,119.55,2,239.1
2023-09-17,Dubái,Hotel 5 estrellas,521.5,13,6779.5
2022-06-12,El Cairo,Hotel 4 estrellas,127.6,14,1786.4
2025-03-30,Berlín,Hostal,14.15,2,28.3
2023-06-06,París,Hostal,10.89,12,130.68
2022-06-06,Estambul,Airbnb,167.25,12,2007.0
2022-06-19,Londres,Hotel 2 estrellas,63.92,1,63.92
2024-04-23,Lima,Hotel 2 estrellas,74.02,5,370.1
2023-07-23,Praga,Hotel 3 estrellas,137.96,1,137.96
2022-10-15,Lima,Hotel 4 estrellas,130.71,11,1437.81
2023-07-23,San Francisco,Hotel 2 estrellas,66.18,9,595.62
2022-08-21,Ámsterdam,Hotel 4 estrellas,120.24,5,601.2
2024-11-15,Toronto,Hostal,45.86,10,458.6
2024-05-13,Ciudad del Cabo,Hotel 5 estrellas,261.09,11,2871.99
2022-09-21,Delhi,Hotel 4 estrellas,213.68,5,1068.4
2023-10-13,Moscú,Hotel 5 estrellas,407.88,5,2039.4
2022-11-07,Roma,Hostal,44.62,14,624.68
2025-01-05,Ámsterdam,Hostal,11.75,8,94.0
2024-01-12,Seúl,Hotel 3 estrellas,74.98,7,524.86
2023-03-18,El Cairo,Hotel 2 estrellas,59.9,1,59.9
2023-09-03,Bangkok,Hotel 4 estrellas,120.04,8,960.32
2024-03-02,Delhi,Hotel 2 estrellas,40.22,13,522.86
2022-08-15,Seúl,Hotel 3 estrellas,149.68,14,2095.52
2023-08-21,Bangkok,Hotel 5 estrellas,432.56,6,2595.36
2022-06-16,Dubái,Hostal,41.56,3,124.68
2023-10-28,Roma,Hotel 3 estrellas,69.25,7,484.75
2023-11-28,Moscú,Hotel 2 estrellas,49.28,1,49.28
2024-10-19,San Francisco,Hotel 3 estrellas,76.02,4,304.08
2024-06-07,Estambul,Hotel 3 estrellas,119.28,1,119.28
2022-08-16,El Cairo,Hotel 3 estrellas,145.27,12,1743.24
2022-08-28,Nueva York,Hotel 5 estrellas,590.49,11,6495.39
2024-08-31,Singapur,Hotel 4 estrellas,162.13,10,1621.3
2023-03-08,Praga,Hotel 3 estrellas,116.91,1,116.91
2024-05-12,Buenos Aires,Hotel 4 estrellas,162.39,1,162.39
2024-01-13,Buenos Aires,Hostal,18.31,8,146.48
2023-10-15,Delhi,Hostal,34.64,2,69.28
2025-01-17,El Cairo,Hotel 5 estrellas,347.99,6,2087.94
2025-03-31,Delhi,Hotel 5 estrellas,403.48,9,3631.32
2024-10-12,El Cairo,Airbnb,157.19,1,157.19
2025-03-17,Tokio,Hotel 3 estrellas,84.81,12,1017.72
2023-05-22,Barcelona,Hotel 5 estrellas,614.06,13,7982.78
2023-10-28,Ciudad de México,Hotel 3 estrellas,82.09,12,985.08
2023-10-06,Delhi,Hotel 4 estrellas,213.93,1,213.93
2022-06-21,Nueva York,Hotel 3 estrellas,124.49,9,1120.41
2025-01-18,Moscú,Hotel 3 estrellas,112.02,7,784.14
2025-01-19,Ámsterdam,Hotel 4 estrellas,133.44,11,1467.84
2024-07-06,Moscú,Hotel 2 estrellas,45.31,5,226.55
2023-09-26,Toronto,Hotel 4 estrellas,176.95,1,176.95
2025-01-07,Delhi,Hotel 3 estrellas,142.17,12,1706.04
2024-05-13,Dubái,Hostal,40.03,2,80.06
2023-08-21,Bangkok,Hotel 4 estrellas,102.89,8,823.12
2025-03-11,Ámsterdam,Hostal,46.6,8,372.8
2022-09-04,Delhi,Hostal,17.61,2,35.22
2024-09-03,Río de Janeiro,Hotel 2 estrellas,65.85,9,592.65
2023-09-11,Roma,Airbnb,199.75,5,998.75
2024-08-29,Buenos Aires,Hotel 5 estrellas,828.99,3,2486.97
2022-09-02,Lima,Hotel 3 estrellas,62.25,5,311.25
2024-09-09,Dubái,Hotel 5 estrellas,981.12,4,3924.48
2024-06-28,Berlín,Hotel 2 estrellas,71.4,2,142.8
2023-03-07,Bangkok,Hostal,41.33,2,82.66
2024-01-04,Delhi,Hotel 3 estrellas,66.89,9,602.01
2024-11-03,Tokio,Hotel 4 estrellas,135.07,13,1755.91
2024-09-20,Nueva York,Hotel 3 estrellas,73.98,2,147.96
2024-09-25,París,Hotel 4 estrellas,219.74,5,1098.7
2023-03-20,Ciudad de México,Airbnb,191.21,8,1529.68
2022-11-02,París,Airbnb,53.5,10,535.0
2024-02-19,Tokio,Hotel 5 estrellas,504.87,11,5553.57
2023-10-15,Singapur,Hotel 3 estrellas,102.57,6,615.42
2023-12-09,Dubái,Hotel 5 estrellas,456.02,10,4560.2
2024-09-19,El Cairo,Hotel 4 estrellas,198.66,5,993.3
2023-08-22,Bangkok,Hostal,25.41,6,152.46
2023-01-29,Seúl,Hotel 4 estrellas,116.33,2,232.66
2025-01-22,París,Hostal,25.15,1,25.15
2024-05-20,Toronto,Hotel 5 estrellas,635.72,12,7628.64
2022-10-24,Sídney,Hotel 5 estrellas,459.21,6,2755.26
2023-06-15,Berlín,Hotel 2 estrellas,53.38,4,213.52
2024-02-16,Dubái,Hotel 5 estrellas,880.59,9,7925.31
2023-08-21,Moscú,Hostal,44.3,1,44.3
2024-03-17,Seúl,Hotel 3 estrellas,84.4,14,1181.6
2022-10-14,Delhi,Hostal,32.96,11,362.56
2024-12-19,Roma,Hotel 4 estrellas,106.32,3,318.96
2024-02-01,Lima,Hotel 5 estrellas,870.99,14,12193.86
2025-02-24,Moscú,Hostal,18.08,2,36.16
2025-04-12,Ciudad del Cabo,Hotel 3 estrellas,60.35,10,603.5
2023-06-04,Londres,Hotel 3 estrellas,84.12,3,252.36
2025-03-13,Delhi,Hostal,43.42,7,303.94
2024-11-22,Estambul,Hostal,49.73,6,298.38
2024-11-07,Moscú,Hotel 2 estrellas,44.89,14,628.46
2025-02-15,Lima,Hotel 5 estrellas,636.19,11,6998.09
2024-07-18,Toronto,Hotel 2 estrellas,72.96,3,218.88
2022-08-24,Delhi,Hotel 4 estrellas,208.27,13,2707.51
2023-02-05,Ciudad del Cabo,Hotel 3 estrellas,60.15,1,60.15
2022-09-14,Dubái,Hotel 4 estrellas,143.39,2,286.78
2025-01-13,Moscú,Hotel 4 estrellas,180.82,10,1808.2
2025-04-09,Dubái,Hotel 5 estrellas,800.67,11,8807.37
2024-09-29,Ámsterdam,Hostal,34.78,9,313.02
2022-09-12,Londres,Hotel 3 estrellas,97.53,1,97.53
2025-01-18,París,Airbnb,149.07,13,1937.91
2024-08-14,Tokio,Hotel 5 estrellas,864.5,10,8645.0
2025-02-01,Dubái,Hostal,45.67,13,593.71
2022-12-19,Ciudad de México,Hotel 2 estrellas,66.31,12,795.72
2024-03-04,El Cairo,Airbnb,130.65,3,391.95
2025-04-24,Barcelona,Airbnb,192.73,11,2120.03
2024-04-15,Moscú,Hotel 2 estrellas,52.37,13,680.81
2024-06-28,Barcelona,Hotel 4 estrellas,146.08,12,1752.96
2024-12-02,Londres,Hotel 2 estrellas,77.08,4,308.32
2024-12-23,Toronto,Hotel 3 estrellas,117.1,10,1171.0
2023-07-07,Berlín,Airbnb,34.3,10,343.0
2023-10-23,Ciudad del Cabo,Hotel 2 estrellas,50.91,3,152.73
2025-01-04,Seúl,Hotel 5 estrellas,728.54,10,7285.4
2023-12-09,El Cairo,Hostal,30.56,12,366.72
2023-11-13,Moscú,Airbnb,32.47,14,454.58
2024-02-01,Berlín,Hotel 4 estrellas,242.08,11,2662.88
2023-06-16,Lima,Hotel 3 estrellas,101.54,10,1015.4
2023-03-02,Londres,Airbnb,146.14,7,1022.98
2022-07-28,Barcelona,Airbnb,132.39,3,397.17
2024-11-06,Bangkok,Hostal,14.17,6,85.02
2024-02-04,Singapur,Hotel 3 estrellas,88.43,9,795.87
2023-01-28,Ciudad de México,Airbnb,126.97,12,1523.64
2023-08-12,París,Airbnb,101.14,8,809.12
2023-03-21,Río de Janeiro,Hotel 3 estrellas,125.01,11,1375.11
2025-01-20,Londres,Hotel 4 estrellas,135.21,7,946.47
2024-01-18,Dubái,Hotel 3 estrellas,149.63,4,598.52
2023-02-09,Buenos Aires,Airbnb,147.0,13,1911.0
2023-04-26,Sídney,Hotel 4 estrellas,141.45,13,1838.85
2023-04-13,Ámsterdam,Hotel 4 estrellas,198.83,3,596.49
2023-03-29,Moscú,Hotel 5 estrellas,412.27,9,3710.43
2022-10-08,Río de Janeiro,Hostal,24.73,14,346.22
2024-10-17,Londres,Hotel 4 estrellas,191.86,1,191.86
2024-05-08,Tokio,Hostal,15.11,14,211.54
2023-02-13,Seúl,Hostal,13.43,7,94.01
2023-08-17,Toronto,Hotel 2 estrellas,54.35,13,706.55
2024-05-24,El Cairo,Airbnb,91.46,9,823.14
2023-04-12,Delhi,Hotel 5 estrellas,943.09,4,3772.36
2024-07-25,Estambul,Hotel 5 estrellas,566.59,1,566.59
2025-04-15,Delhi,Hostal,22.12,14,309.68
2024-10-15,Dubái,Hotel 4 estrellas,150.67,9,1356.03
2023-11-29,Singapur,Hostal,34.41,6,206.46
2023-12-08,Nueva York,Hotel 4 estrellas,105.89,14,1482.46
2023-05-26,Sídney,Hotel 4 estrellas,126.8,8,1014.4
2024-06-13,Lima,Hotel 5 estrellas,310.39,5,1551.95
2022-12-09,El Cairo,Hotel 2 estrellas,57.84,4,231.36
2023-01-22,Ciudad de México,Hotel 3 estrellas,121.95,14,1707.3
2024-02-19,Lima,Hostal,49.94,14,699.16
2023-12-21,Sídney,Hotel 4 estrellas,225.43,7,1578.01
2024-12-22,Seúl,Hotel 3 estrellas,84.57,4,338.28
2025-04-02,Seúl,Hostal,11.05,12,132.6
2023-01-08,Dubái,Hotel 5 estrellas,543.19,6,3259.14
2023-10-19,Bangkok,Hotel 4 estrellas,216.5,6,1299.0
2024-03-19,El Cairo,Hotel 3 estrellas,118.69,10,1186.9
2022-08-03,Bangkok,Airbnb,184.37,5,921.85
2023-12-29,Roma,Hostal,48.82,10,488.2
2023-11-16,Estambul,Hotel 2 estrellas,62.91,3,188.73
2024-10-21,El Cairo,Hotel 2 estrellas,54.89,13,713.57
2022-12-02,Estambul,Hotel 2 estrellas,75.14,2,150.28
2022-06-13,Praga,Airbnb,43.74,8,349.92
2022-07-15,Bangkok,Hotel 2 estrellas,77.43,12,929.16
2022-11-26,Dubái,Hotel 5 estrellas,918.24,4,3672.96
2022-11-26,Barcelona,Hotel 3 estrellas,129.29,6,775.74
2022-06-20,Ciudad de México,Hotel 2 estrellas,62.17,7,435.19
2024-02-10,Delhi,Hotel 3 estrellas,143.95,7,1007.65
2023-08-08,Berlín,Hotel 5 estrellas,515.66,1,515.66
2022-07-19,Berlín,Hostal,12.24,12,146.88
2022-10-20,Río de Janeiro,Hotel 3 estrellas,135.42,7,947.94
2024-02-27,Buenos Aires,Hotel 4 estrellas,169.6,4,678.4
2023-11-06,Londres,Hostal,26.7,12,320.4
2023-02-28,Buenos Aires,Hotel 5 estrellas,970.31,14,13584.34
2023-09-16,Ciudad de México,Hotel 3 estrellas,116.96,5,584.8
2023-02-09,Seúl,Hotel 3 estrellas,88.95,3,266.85
2024-09-18,Ciudad de México,Hotel 4 estrellas,220.92,4,883.68
2023-06-11,Toronto,Hotel 3 estrellas,116.22,6,697.32
2023-09-23,Delhi,Airbnb,78.61,10,786.1
2024-11-30,Sídney,Hotel 3 estrellas,136.95,5,684.75
2024-11-10,Nueva York,Hotel 3 estrellas,100.0,2,200.0
2024-09-09,San Francisco,Hotel 2 estrellas,68.23,10,682.3
2024-06-11,Dubái,Hotel 5 estrellas,295.77,6,1774.62
2022-06-03,Roma,Hostal,17.41,11,191.51
2022-10-02,Bangkok,Airbnb,53.58,11,589.38
2023-08-27,Praga,Hotel 4 estrellas,217.12,9,1954.08
