Fecha,Origen,Destino,Distancia_km,Precio_USD,Clase
2021-01-31,LHR (Londres),PEK (Pekín),12265,1254.99,0
2021-04-17,GRU (São Paulo),MAD (Madrid),10801,1176.39,0
2021-02-11,DXB (Dubái),GRU (São Paulo),14523,1577.37,0
2021-03-11,GRU (São Paulo),PEK (Pekín),13389,1421.03,0
2022-08-10,CPT (Ciudad del Cabo),HND (Tokio),14992,1504.09,0
2023-12-14,CPT (Ciudad del Cabo),DOH (Doha),13454,3814.25,1
2024-10-02,CDG (París),NRT (Tokio),14902,1495.8,0
2021-02-26,SYD (Sídney),MAD (Madrid),12283,1240.19,0
2023-08-12,SYD (Sídney),CPT (Ciudad del Cabo),9739,2796.02,1
2020-06-08,FRA (Frankfurt),LAX (Los Ángeles),8760,861.56,0
2023-02-04,CDG (París),DXB (Dubái),11318,1274.01,0
2022-07-14,ORD (Chicago),SIN (Singapur),13823,1397.67,0
2024-03-10,HND (Tokio),ATL (Atlanta),12834,1254.19,0
2022-03-12,CDG (París),ATL (Atlanta),10302,5596.07,2
2021-10-28,SYD (Sídney),LAX (Los Ángeles),9441,5042.98,2
2023-11-24,NRT (Tokio),EZE (Buenos Aires),13810,1321.06,0
2024-03-11,DXB (Dubái),FRA (Frankfurt),12480,1258.23,0
2022-08-01,ATL (Atlanta),DOH (Doha),10218,1031.41,0
2021-05-08,MAD (Madrid),CPT (Ciudad del Cabo),9467,919.01,0
2022-05-15,SIN (Singapur),NRT (Tokio),13612,1451.71,0
2021-04-30,ATL (Atlanta),HND (Tokio),14584,1528.81,0
2020-07-06,GRU (São Paulo),PVG (Shanghái),3920,387.61,0
2022-05-28,CDG (París),SYD (Sídney),13291,6454.31,2
2020-10-21,PVG (Shanghái),FRA (Frankfurt),12052,3103.81,1
2020-08-30,GRU (São Paulo),SYD (Sídney),1717,190.17,0
2023-02-08,ORD (Chicago),CDG (París),10258,1154.91,0
2025-04-06,PVG (Shanghái),DOH (Doha),10289,1001.26,0
2020-08-09,HND (Tokio),PVG (Shanghái),11056,1224.83,0
2025-03-04,HND (Tokio),DOH (Doha),9007,1002.33,0
2021-11-21,CPT (Ciudad del Cabo),ORD (Chicago),5694,609.82,0
2024-04-01,ATL (Atlanta),GRU (São Paulo),10708,1161.03,0
2024-06-27,DEL (Delhi),DOH (Doha),1105,114.68,0
2020-12-01,DOH (Doha),DXB (Dubái),5438,553.92,0
2021-04-22,HND (Tokio),DOH (Doha),13138,3141.71,1
2022-06-23,PEK (Pekín),FRA (Frankfurt),11355,1125.31,0
2021-07-29,ORD (Chicago),SYD (Sídney),12914,3324.44,1
2022-12-21,HND (Tokio),DEL (Delhi),14467,1599.1,0
2022-05-12,PVG (Shanghái),ORD (Chicago),10242,1090.19,0
2023-08-05,EZE (Buenos Aires),LHR (Londres),8710,995.61,0
2024-06-19,SYD (Sídney),MAD (Madrid),14424,3779.13,1
2022-11-19,CDG (París),SIN (Singapur),12082,1292.24,0
2023-09-28,LHR (Londres),EZE (Buenos Aires),13428,1325.25,0
2024-07-08,HND (Tokio),GRU (São Paulo),11063,1160.35,0
2021-07-05,NRT (Tokio),SIN (Singapur),11428,1203.8,0
2023-11-07,SYD (Sídney),SIN (Singapur),4788,514.33,0
2023-04-17,PVG (Shanghái),HND (Tokio),14992,1707.03,0
2025-03-15,LHR (Londres),JFK (Nueva York),9508,1033.34,0
2023-09-13,ATL (Atlanta),DOH (Doha),8551,2421.97,1
2023-05-21,LHR (Londres),LAX (Los Ángeles),3986,406.36,0
2023-06-20,DEL (Delhi),ATL (Atlanta),8292,885.01,0
2022-02-15,MAD (Madrid),CPT (Ciudad del Cabo),14890,1700.85,0
2021-06-13,SYD (Sídney),FRA (Frankfurt),9827,1000.72,0
2022-01-13,JFK (Nueva York),ORD (Chicago),8523,933.02,0
2024-02-21,DEL (Delhi),SYD (Sídney),13618,1460.12,0
2020-09-09,CPT (Ciudad del Cabo),LHR (Londres),13695,7779.56,2
2022-02-02,CDG (París),LHR (Londres),10378,2807.97,1
2021-01-06,LAX (Los Ángeles),EZE (Buenos Aires),8806,2375.33,1
2022-02-14,DEL (Delhi),MAD (Madrid),12570,1292.42,0
2021-11-27,DOH (Doha),GRU (São Paulo),10249,1101.65,0
2023-08-25,PEK (Pekín),ORD (Chicago),12604,1276.77,0
2025-03-26,EZE (Buenos Aires),PEK (Pekín),9007,1032.89,0
2023-10-13,PVG (Shanghái),PEK (Pekín),8817,865.81,0
